"Major area, region, country or area","Country code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"WORLD",900,2532229.237,2580959.811,2628448.169,2675766.194,2723726.367,2772881.677,2823513.099,2875642.147,2929068.76,2983434.676,3038412.766,3093909.471,3150241.63,3208212.366,3268896.174,3333007.049,3400823.017,3471955.133,3545612.656,3620652.065,3696186.306,3772048.386,3848319.463,3924667.649,4000764.13,4076419.207,4151409.53,4225863.84,4300401.689,4375899.125,4453007.478,4531799.255,4612119.82,4694097.271,4777827.832,4863289.935,4950590.704,5039478.411,5129112.573,5218374.508,5306425.154,5392938.741,5478009.489,5561743.942,5644416.076,5726239.315,5807211.831,5887259.665,5966464.736,6044931.358,6122770.22,6200002.758,6276721.836,6353195.588,6429757.631,6506649.175,6583958.568,6661637.46,6739610.289,6817737.123,6895889.018
"More developed regions",901,811186.803,820861.171,830924.014,841203.429,851568.709,861930.318,872242.023,882498.748,892730.403,902991.474,913329.84,923753.566,934201.808,944532.343,954556.889,964144.968,973228.997,981855.27,990147.947,998292.346,1006421.234,1014577.932,1022716.17,1030771.978,1038644.884,1046264.435,1053621.704,1060751.702,1067680.915,1074450.228,1081094.352,1087604.274,1093982.368,1100287.498,1106594.887,1112950.517,1119383.364,1125857.417,1132272.624,1138489.168,1144404.03,1150002.513,1155310.725,1160319.416,1165028.39,1169451.467,1173576.583,1177439.544,1181163.953,1184912.819,1188808.909,1192884.765,1197125.409,1201543.72,1206138.692,1210897.487,1215843.201,1220951.159,1226098.774,1231121.716,1235899.865
"Less developed regions",902,1721042.434,1760098.64,1797524.155,1834562.765,1872157.658,1910951.359,1951271.076,1993143.399,2036338.357,2080443.202,2125082.926,2170155.905,2216039.822,2263680.023,2314339.285,2368862.081,2427594.02,2490099.863,2555464.709,2622359.719,2689765.072,2757470.454,2825603.293,2893895.671,2962119.246,3030154.772,3097787.826,3165112.138,3232720.774,3301448.897,3371913.126,3444194.981,3518137.452,3593809.773,3671232.945,3750339.418,3831207.34,3913620.994,3996839.949,4079885.34,4162021.124,4242936.228,4322698.764,4401424.526,4479387.686,4556787.848,4633635.248,4709820.121,4785300.783,4860018.539,4933961.311,5007117.993,5079596.427,5151651.868,5223618.939,5295751.688,5368115.367,5440686.301,5513511.515,5586615.407,5659989.153
"Least developed countries",941,196088.444,200293.113,204456.906,208680.194,213040.801,217593.99,222371.498,227382.522,232616.497,238047.91,243650.443,249412.168,255348.79,261509.331,267960.023,274736.978,281890.636,289379.34,297037.21,304637.241,312029.793,319143.158,326062.619,332988.877,340208.383,347930.194,356230.277,365056.205,374333.199,383933.827,393768.349,403832.602,414175.072,424820.454,435806.702,447166.559,458878.224,470942.506,483439.559,496474.33,510106.852,524385.39,539247.218,554504.857,569900.623,585250.688,600474.378,615625.317,630818.39,646232.991,661996.477,678158.441,694669.158,711440.913,728342.787,745291.148,762246.457,779271.063,796505.695,814145.992,832329.577
"Less developed regions, excluding least developed countries",934,1524953.99,1559805.527,1593067.249,1625882.571,1659116.857,1693357.369,1728899.578,1765760.877,1803721.86,1842395.292,1881432.483,1920743.737,1960691.032,2002170.692,2046379.262,2094125.103,2145703.384,2200720.523,2258427.499,2317722.478,2377735.279,2438327.296,2499540.674,2560906.794,2621910.863,2682224.578,2741557.549,2800055.933,2858387.575,2917515.07,2978144.777,3040362.379,3103962.38,3168989.319,3235426.243,3303172.859,3372329.116,3442678.488,3513400.39,3583411.01,3651914.272,3718550.838,3783451.546,3846919.669,3909487.063,3971537.16,4033160.87,4094194.804,4154482.393,4213785.548,4271964.834,4328959.552,4384927.269,4440210.955,4495276.152,4550460.54,4605868.91,4661415.238,4717005.82,4772469.415,4827659.576
"Less developed regions, excluding China",948,1160538.658,1183888.716,1208653.516,1234796.915,1262281.345,1291067.752,1321115.419,1352382.19,1384825.053,1418401.471,1453072.571,1488806.962,1525583.792,1563394.195,1602237.345,1642109.21,1683023.27,1724967.032,1767883.532,1811698.779,1856373.693,1901880.058,1948273.532,1995703.338,2044372.146,2094429.594,2145898.991,2198746.076,2252986.501,2308622.326,2365632.563,2423995.707,2483644.187,2544443.818,2606222.586,2668823.522,2732165.895,2796167.118,2860663.736,2925472.263,2990439.572,3055488.023,3120564.313,3185577.723,3250442.582,3315102.256,3379507.789,3443669.61,3507672.591,3571645.545,3635693.376,3699846.516,3764111.655,3828544.241,3893203.364,3958138.575,4023351.074,4088854.985,4154721.506,4221035.787,4287840.92
"Sub-Saharan Africa",947,186102.61,189776.69,193634.316,197666.206,201866.976,206235.129,210773.235,215487.767,220388.497,225487.631,230796.977,236325.03,242074.347,248040.443,254214.943,260594.848,267183.145,273993.067,281044.629,288363.451,295970.846,303874.583,312079.776,320601.499,329455.827,338654.176,348205.098,358107.792,368351.904,378920.915,389802.238,400992.623,412494.362,424306.628,436429.737,448863.242,461600.408,474636.954,487977.395,501628.851,515593.043,529880.702,544481.269,559350.301,574428.323,589677.124,605082.223,620669.422,636491.487,652623.183,669122.828,686014.281,703296.803,720975.204,739046.772,757513.446,776378.984,795660.918,815389.836,835603.463,856327.157
"AFRICA",903,229895.014,234594.101,239500.841,244621.146,249959.898,255520.975,261307.117,267320.063,273560.745,280029.759,286728.577,293660.942,300833.985,308258.766,315948.821,323916.011,332172.256,340724.003,349571.523,358712.065,368148.001,377880.918,387927.041,398321.045,409107.082,420317.86,431962.811,444037.013,456539.641,469464.566,482803.249,496553.821,510706.658,525234.106,540100.59,555275.925,570744.56,586496.853,602515.592,618783.985,635286.969,652027.208,668997.363,686163.111,703481.811,720930.706,738496.532,756210.194,774149.147,792418.996,811100.956,830228.253,849797.757,869810.069,890252.948,911119.875,932414.655,954153.855,976356.483,999045.481,1022234.4
"Eastern Africa",910,64757.214,66195.81,67685.781,69228.391,70826.26,72483.371,74205.174,75998.481,77871.151,79831.597,81887.259,84042.988,86299.611,88653.337,91097.466,93627.49,96244.475,98951.952,101750.801,104642.26,107628.211,110708.859,113887.116,117170.96,120570.551,124093.453,127747.119,131531.68,135438.763,139455.508,143574.889,147782.152,152084.897,156524.045,161155.54,166013.018,171128.867,176475.2,181953.043,187425.493,192800.976,198031.093,203162.593,208314.99,213659.747,219317.548,225336.092,231670.183,238235.198,244903.225,251583.75,258258.979,264967.642,271744.482,278644.451,285712.558,292951.057,300360.283,307981.544,315864.904,324044.321
"Burundi",108,2456.3,2504.993,2550.737,2595.383,2640.339,2686.568,2734.574,2784.417,2835.768,2888.007,2940.498,2992.893,3045.392,3098.852,3154.474,3212.864,3275.465,3341.476,3406.65,3465.19,3513.499,3549.864,3577.187,3602.204,3634.284,3680.401,3742.452,3819.115,3910.124,4014.19,4129.997,4257.303,4395.56,4542.467,4695.065,4850.597,5008.201,5166.403,5321.108,5467.413,5601.72,5724.03,5835.071,5933.293,6017.127,6086.751,6140.258,6181.493,6223.515,6283.662,6374.347,6499.653,6656.071,6838.764,7039.534,7251.424,7474.363,7707.781,7943.385,8170.853,8382.849
